station	 latitude   longitude 
REF      44.513482  10.823968
SHOT1    44.514100  10.825490
SHOT2    44.514320  10.825270
SHOT3    44.514530  10.825100
SHOT4    44.514140  10.824680
SHOT5    44.514380  10.824560
SHOT6    44.514140  10.825840
SHOT7    44.514450  10.825630
SHOT8    44.514540  10.826110
DRON1    44.514400  10.825600
